ID         Имя                       Приоритет    Время запуска        Состояние       Время CPU      
806        TipsWidgetExten           0            2025-11-08 16:03:05  Running         00:00:00.0227291
805        ShortcutsWidget           0            2025-11-08 16:03:05  Running         00:00:00.0439458
804        PhotosReliveWid           0            2025-11-08 16:03:04  Running         00:00:00.0267416
803        SafariWidgetExt           0            2025-11-08 16:03:04  Running         00:00:00.0768750
799        PowerPointWidge           0            2025-11-08 16:03:04  Running         00:00:00.0241958
796        ExcelWidget_mac           0            2025-11-08 16:03:04  Running         00:00:00.0267041
794        WordWidget_mac            0            2025-11-08 16:03:04  Running         00:00:00.0277500
791        PeopleWidget_ma           0            2025-11-08 16:03:04  Running         00:00:00.0361458
789        BTLEServerAgent           0            2025-11-08 16:03:04  Running         00:00:01.7425333
790        com.apple.Notes           0            2025-11-08 16:03:04  Running         00:00:00.0513250
788        ScreenTimeWidge           0            2025-11-08 16:03:04  Running         00:00:17.8975791
